"cond","needs","nfc","age","gender","relation_type","rel_val","expect"
2,3.875,3,28,"Man","Casually Dating",2.6,3
3,4.25,2.93333333333333,20,"Other","Casually Dating",4.8,5
3,2.75,4.13333333333333,20,"Man","Friendship",6.8,3
2,5.125,5.26666666666667,19,"Woman","Friendship",5.2,3
1,2.875,4.46666666666667,29,"Man","Casually Dating",4,4
2,6,6.66666666666667,20,"Woman","Friendship",5,6
2,5.625,4.4,25,"Woman","Friendship",5.2,5
3,3.75,4.93333333333333,28,"Woman","Casually Dating",5.6,2
1,4.375,5,22,"Man","Romantic Relationship",1.8,3
2,5.75,4.33333333333333,25,"Other","Friendship",6.6,7
1,3,4.6,21,"Man","Friendship",6,5
3,3.875,5.4,21,"Man","Friendship",5.2,5
1,3.25,4.8,25,"Woman","Friendship",2.8,3
2,6.375,4.93333333333333,26,"Woman","Romantic Relationship",6.6,5
1,2.5,4.13333333333333,28,"Man","Friendship",5.6,5
3,1,2.2,27,"Man","Romantic Relationship",6,4
2,2.75,4.86666666666667,22,"Woman","Romantic Relationship",5.8,3
2,5.625,4.73333333333333,28,"Man","Friendship",5,6
2,6.125,5.93333333333333,24,"Man","Romantic Relationship",6.2,2
3,3.75,4.06666666666667,23,"Woman","Romantic Relationship",3.8,5
1,3.375,2.8,24,"Man","Casually Dating",3,5
2,5.875,5.46666666666667,22,"Man","Friendship",5.4,6
2,6,4.86666666666667,18,"Other","Friendship",5.2,6
1,1.875,5.26666666666667,21,"Man","Friendship",5.2,4
1,3,4.26666666666667,27,"Woman","Friendship",5,6
3,1.875,5.06666666666667,27,"Man","Casually Dating",5,5
3,2.25,4.26666666666667,24,"Woman","Friendship",6.4,5
1,4.125,4.26666666666667,18,"Man","Romantic Relationship",3.8,4
2,6.625,5.13333333333333,29,"Woman","Romantic Relationship",7,5
1,2.875,3.73333333333333,20,"Woman","Friendship",3.8,5
1,1,6.6,29,"Woman","Romantic Relationship",6.6,7
2,6.5,5.06666666666667,29,"Man","Friendship",6.4,6
1,1.875,4.4,28,"Man","Friendship",4.4,4
2,4.5,5.06666666666667,26,"Woman","Friendship",7,5
2,6.75,5.8,23,"Woman","Friendship",3.8,3
3,3.875,6.73333333333333,28,"Woman","Romantic Relationship",4.8,2
3,3.875,4.73333333333333,23,"Woman","Romantic Relationship",3.6,1
1,5.375,6.8,26,"Woman","Casually Dating",1.2,2
1,2.375,4.46666666666667,24,"Man","Friendship",4.8,6
2,6.375,4.2,29,"Woman","Friendship",7,3
