"nerror","adaptation","fontsize","position","id","acuity"
0,"AC","-0.2","1","37","normal"
0,"AC","-0.2","2","37","normal"
2,"AC","-0.2","3","37","normal"
0,"AC","-0.2","4","37","normal"
1,"AC","-0.2","5","37","normal"
0,"PA","-0.1","1","37","normal"
0,"PA","-0.1","2","37","normal"
0,"PA","-0.1","3","37","normal"
0,"PA","-0.1","4","37","normal"
0,"PA","-0.1","5","37","normal"
0,"AC","-0.1","1","37","normal"
0,"AC","-0.1","2","37","normal"
0,"AC","-0.1","3","37","normal"
0,"AC","-0.1","4","37","normal"
0,"AC","-0.1","5","37","normal"
0,"PA","0","1","37","normal"
0,"PA","0","2","37","normal"
0,"PA","0","3","37","normal"
0,"PA","0","4","37","normal"
0,"PA","0","5","37","normal"
0,"AC","0","1","37","normal"
0,"AC","0","2","37","normal"
0,"AC","0","3","37","normal"
0,"AC","0","4","37","normal"
0,"AC","0","5","37","normal"
4,"PA","-0.3","1","38","normal"
4,"PA","-0.3","2","38","normal"
4,"PA","-0.3","3","38","normal"
4,"PA","-0.3","4","38","normal"
4,"PA","-0.3","5","38","normal"
4,"AC","-0.3","1","38","normal"
4,"AC","-0.3","2","38","normal"
4,"AC","-0.3","3","38","normal"
4,"AC","-0.3","4","38","normal"
3,"AC","-0.3","5","38","normal"
0,"PA","-0.2","1","38","normal"
1,"PA","-0.2","2","38","normal"
0,"PA","-0.2","3","38","normal"
0,"PA","-0.2","4","38","normal"
0,"PA","-0.2","5","38","normal"
0,"AC","-0.2","1","38","normal"
0,"AC","-0.2","2","38","normal"
0,"AC","-0.2","3","38","normal"
0,"AC","-0.2","4","38","normal"
0,"AC","-0.2","5","38","normal"
0,"PA","-0.1","1","38","normal"
0,"PA","-0.1","2","38","normal"
0,"PA","-0.1","3","38","normal"
0,"PA","-0.1","4","38","normal"
0,"PA","-0.1","5","38","normal"
0,"AC","-0.1","1","38","normal"
0,"AC","-0.1","2","38","normal"
0,"AC","-0.1","3","38","normal"
0,"AC","-0.1","4","38","normal"
0,"AC","-0.1","5","38","normal"
0,"PA","0","1","38","normal"
0,"PA","0","2","38","normal"
0,"PA","0","3","38","normal"
0,"PA","0","4","38","normal"
0,"PA","0","5","38","normal"
0,"AC","0","1","38","normal"
0,"AC","0","2","38","normal"
0,"AC","0","3","38","normal"
0,"AC","0","4","38","normal"
