electrode,Value,epoch,stimuli,participant
Oz,-1.099951934,22,SH,p6_exp2
Oz,-17.86999401,23,SH,p6_exp2
Oz,-11.89567015,24,SH,p6_exp2
Oz,-7.902828688,25,SH,p6_exp2
Oz,-8.835419531,26,SH,p6_exp2
Oz,-2.165276651,27,SH,p6_exp2
Oz,-20.82763012,28,SH,p6_exp2
Oz,-6.505299777,29,SH,p6_exp2
Oz,-17.52934257,31,SH,p6_exp2
Oz,-11.54562776,32,SH,p6_exp2
Oz,-18.71662086,33,SH,p6_exp2
Oz,-2.63710452,34,SH,p6_exp2
Oz,-9.427163813,35,SH,p6_exp2
Oz,-13.40521523,38,SH,p6_exp2
PO8,-8.080038458,0,SH,p6_exp2
PO8,-0.801888574,1,SH,p6_exp2
PO8,-8.729021183,2,SH,p6_exp2
PO8,-11.0873439,3,SH,p6_exp2
PO8,-18.94900623,4,SH,p6_exp2
PO8,-1.777285337,5,SH,p6_exp2
PO8,-14.01366712,6,SH,p6_exp2
PO8,-0.510773974,7,SH,p6_exp2
PO8,-4.285400899,8,SH,p6_exp2
PO8,-5.052017078,9,SH,p6_exp2
PO8,-5.918805122,10,SH,p6_exp2
PO8,-11.89438747,11,SH,p6_exp2
PO8,-4.400876537,12,SH,p6_exp2
PO8,-9.87343141,14,SH,p6_exp2
PO8,-10.58545267,15,SH,p6_exp2
PO8,-7.455762824,16,SH,p6_exp2
PO8,-6.994277078,17,SH,p6_exp2
PO8,-9.811263876,18,SH,p6_exp2
PO8,-13.74783649,19,SH,p6_exp2
PO8,-6.08913444,20,SH,p6_exp2
PO8,-9.781654951,21,SH,p6_exp2
PO8,-4.043904979,22,SH,p6_exp2
PO8,-13.36608958,23,SH,p6_exp2
PO8,-13.21515193,24,SH,p6_exp2
PO8,-14.77178212,25,SH,p6_exp2
PO8,-5.14185325,26,SH,p6_exp2
PO8,-15.85047617,27,SH,p6_exp2
PO8,-8.802870164,28,SH,p6_exp2
PO8,-5.359488872,29,SH,p6_exp2
PO8,-11.15415337,31,SH,p6_exp2
PO8,-13.39353494,32,SH,p6_exp2
PO8,-17.06519705,33,SH,p6_exp2
PO8,-2.285229446,34,SH,p6_exp2
PO8,-16.22267874,35,SH,p6_exp2
PO8,-8.44078961,37,SH,p6_exp2
PO8,-4.652934898,38,SH,p6_exp2
PO8,-6.008674446,39,SH,p6_exp2
Fz,-5.890890045,0,EH,p6_exp2
Fz,-14.66899111,1,EH,p6_exp2
Fz,-11.57504576,2,EH,p6_exp2
